date,region,resource_type,usage_cpu,usage_storage,users_active
2023-01-06,North Europe,Container,82,884,325
2023-01-06,Southeast Asia,VM,51,1576,371
2023-01-06,Southeast Asia,Storage,75,1939,446
2023-01-06,Southeast Asia,Container,53,1962,402
2023-01-07,East US,VM,66,1266,493
2023-01-07,East US,Storage,73,1383,297
2023-01-07,East US,Container,55,1481,439
2023-01-07,West US,VM,65,1108,400
2023-01-07,West US,Storage,55,963,458
2023-01-07,West US,Container,69,1263,346
2023-01-07,North Europe,VM,69,1363,398
2023-01-07,North Europe,Storage,90,1428,327
2023-01-07,North Europe,Container,88,837,328
2023-01-07,Southeast Asia,VM,60,972,350
2023-01-07,Southeast Asia,Storage,80,1821,298
2023-01-07,Southeast Asia,Container,56,643,311
2023-01-08,East US,VM,98,501,453
2023-01-08,East US,Storage,61,952,236
2023-01-08,East US,Container,81,1514,208
2023-01-08,West US,VM,90,1622,346
2023-01-08,West US,Storage,97,707,330
2023-01-08,West US,Container,69,651,253
2023-01-08,North Europe,VM,82,1127,274
2023-01-08,North Europe,Storage,98,1943,303
2023-01-08,North Europe,Container,69,753,426
2023-01-08,Southeast Asia,VM,97,1009,298
2023-01-08,Southeast Asia,Storage,74,1413,393
2023-01-08,Southeast Asia,Container,84,1456,368
2023-01-09,East US,VM,85,660,267
2023-01-09,East US,Storage,82,897,476
2023-01-09,East US,Container,97,1915,334
2023-01-09,West US,VM,52,900,327
2023-01-09,West US,Storage,82,1187,221
2023-01-09,West US,Container,95,537,429
2023-01-09,North Europe,VM,94,1062,463
2023-01-09,North Europe,Storage,76,526,425
2023-01-09,North Europe,Container,70,1297,296
2023-01-09,Southeast Asia,VM,77,1378,346
2023-01-09,Southeast Asia,Storage,53,1046,391
2023-01-09,Southeast Asia,Container,98,516,371
2023-01-10,East US,VM,77,657,245
2023-01-10,East US,Storage,55,598,432
2023-01-10,East US,Container,86,779,380
2023-01-10,West US,VM,80,1622,387
2023-01-10,West US,Storage,82,1639,390
2023-01-10,West US,Container,70,1427,360
2023-01-10,North Europe,VM,52,627,217
2023-01-10,North Europe,Storage,74,1065,257
2023-01-10,North Europe,Container,52,1185,479
2023-01-10,Southeast Asia,VM,99,1811,350
2023-01-10,Southeast Asia,Storage,51,654,472
2023-01-10,Southeast Asia,Container,89,1916,498
2023-01-11,East US,VM,97,1562,369
2023-01-11,East US,Storage,75,1420,212
2023-01-11,East US,Container,56,535,372
2023-01-11,West US,VM,69,820,463
2023-01-11,West US,Storage,95,899,341
2023-01-11,West US,Container,61,970,342
2023-01-11,North Europe,VM,77,1877,487
2023-01-11,North Europe,Storage,72,1353,250
2023-01-11,North Europe,Container,74,1074,389
2023-01-11,Southeast Asia,VM,71,813,257
2023-01-11,Southeast Asia,Storage,71,804,379
2023-01-11,Southeast Asia,Container,91,1337,470
2023-01-12,East US,VM,92,943,300
2023-01-12,East US,Storage,82,763,252
2023-01-12,East US,Container,93,504,302
2023-01-12,West US,VM,53,1273,246
2023-01-12,West US,Storage,84,1322,343
2023-01-12,West US,Container,62,869,323
2023-01-12,North Europe,VM,91,1156,319
2023-01-12,North Europe,Storage,68,1581,428
2023-01-12,North Europe,Container,75,616,478
2023-01-12,Southeast Asia,VM,58,1512,328
2023-01-12,Southeast Asia,Storage,50,1301,295
2023-01-12,Southeast Asia,Container,97,987,436
2023-01-13,East US,VM,50,1795,388
2023-01-13,East US,Storage,88,1203,268
2023-01-13,East US,Container,71,1360,446
2023-01-13,West US,VM,52,1599,353
2023-01-13,West US,Storage,65,1958,285
2023-01-13,West US,Container,78,1743,268
2023-01-13,North Europe,VM,96,1508,293
2023-01-13,North Europe,Storage,95,1457,403
2023-01-13,North Europe,Container,65,717,238
2023-01-13,Southeast Asia,VM,85,1812,453
2023-01-13,Southeast Asia,Storage,79,856,222
2023-01-13,Southeast Asia,Container,59,1623,489
2023-01-14,East US,VM,80,1261,346
2023-01-14,East US,Storage,81,1268,203
2023-01-14,East US,Container,65,1291,446
2023-01-14,West US,VM,51,996,359
2023-01-14,West US,Storage,76,1351,351
2023-01-14,West US,Container,61,1189,362
2023-01-14,North Europe,VM,82,1456,378
2023-01-14,North Europe,Storage,92,1791,264
2023-01-14,North Europe,Container,82,1691,242
2023-01-14,Southeast Asia,VM,93,784,211
2023-01-14,Southeast Asia,Storage,80,1825,452
2023-01-14,Southeast Asia,Container,99,534,414
2023-01-15,East US,VM,66,589,463
2023-01-15,East US,Storage,78,1469,289
2023-01-15,East US,Container,83,614,304
2023-01-15,West US,VM,56,1719,313
2023-01-15,West US,Storage,94,1598,416
2023-01-15,West US,Container,70,1520,448
2023-01-15,North Europe,VM,85,1917,391
2023-01-15,North Europe,Storage,84,1622,235
2023-01-15,North Europe,Container,67,1508,295
2023-01-15,Southeast Asia,VM,73,1162,389
2023-01-15,Southeast Asia,Storage,81,536,467
2023-01-15,Southeast Asia,Container,98,778,416
2023-01-16,East US,VM,84,1372,485
2023-01-16,East US,Storage,66,561,283
2023-01-16,East US,Container,97,1228,386
2023-01-16,West US,VM,68,676,299
2023-01-16,West US,Storage,61,944,432
2023-01-16,West US,Container,68,575,464
2023-01-16,North Europe,VM,56,1217,422
2023-01-16,North Europe,Storage,68,1890,343
2023-01-16,North Europe,Container,54,1622,224
2023-01-16,Southeast Asia,VM,70,1674,343
2023-01-16,Southeast Asia,Storage,88,608,380
2023-01-16,Southeast Asia,Container,91,1709,422
2023-01-17,East US,VM,54,1686,414
2023-01-17,East US,Storage,78,734,345
2023-01-17,East US,Container,96,1087,208
2023-01-17,West US,VM,59,1453,452
2023-01-17,West US,Storage,87,1697,340
2023-01-17,West US,Container,89,669,482
2023-01-17,North Europe,VM,51,528,364
2023-01-17,North Europe,Storage,87,838,335
2023-01-17,North Europe,Container,97,1888,344
2023-01-17,Southeast Asia,VM,56,716,331
2023-01-17,Southeast Asia,Storage,85,1593,451
2023-01-17,Southeast Asia,Container,80,944,381
2023-01-18,East US,VM,88,590,401
2023-01-18,East US,Storage,75,538,325
2023-01-18,East US,Container,52,672,340
2023-01-18,West US,VM,99,1743,325
2023-01-18,West US,Storage,69,975,200
2023-01-18,West US,Container,52,847,389
2023-01-18,North Europe,VM,98,1932,316
2023-01-18,North Europe,Storage,55,557,243
2023-01-18,North Europe,Container,94,1171,372
2023-01-18,Southeast Asia,VM,96,1672,279
2023-01-18,Southeast Asia,Storage,70,702,451
2023-01-18,Southeast Asia,Container,86,1750,346
2023-01-19,East US,VM,69,1964,246
2023-01-19,East US,Storage,90,1828,213
2023-01-19,East US,Container,64,1938,200
2023-01-19,West US,VM,52,1155,211
2023-01-19,West US,Storage,59,1235,471
2023-01-19,West US,Container,57,857,355
2023-01-19,North Europe,VM,57,1645,363
2023-01-19,North Europe,Storage,75,1197,377
2023-01-19,North Europe,Container,77,1231,240
2023-01-19,Southeast Asia,VM,85,1001,344
2023-01-19,Southeast Asia,Storage,58,1428,411
2023-01-19,Southeast Asia,Container,62,1231,439
2023-01-20,East US,VM,78,1408,245
2023-01-20,East US,Storage,84,1776,281
2023-01-20,East US,Container,54,949,209
2023-01-20,West US,VM,79,1765,450
2023-01-20,West US,Storage,94,1528,318
2023-01-20,West US,Container,82,873,264
2023-01-20,North Europe,VM,67,723,438
2023-01-20,North Europe,Storage,98,1352,481
2023-01-20,North Europe,Container,74,1326,482
2023-01-20,Southeast Asia,VM,98,1984,297
2023-01-20,Southeast Asia,Storage,90,1622,205
2023-01-20,Southeast Asia,Container,77,1208,332
2023-01-21,East US,VM,87,1270,222
2023-01-21,East US,Storage,86,1176,401
2023-01-21,East US,Container,59,582,344
2023-01-21,West US,VM,70,1601,200
2023-01-21,West US,Storage,94,1216,459
2023-01-21,West US,Container,50,1380,487
2023-01-21,North Europe,VM,83,1871,294
2023-01-21,North Europe,Storage,57,653,449
2023-01-21,North Europe,Container,83,937,317
2023-01-21,Southeast Asia,VM,52,1829,467
2023-01-21,Southeast Asia,Storage,50,1577,435
2023-01-21,Southeast Asia,Container,54,1489,421
2023-01-22,East US,VM,66,1123,454
2023-01-22,East US,Storage,96,1418,406
2023-01-22,East US,Container,86,1352,265
2023-01-22,West US,VM,60,934,302
2023-01-22,West US,Storage,87,1263,425
2023-01-22,West US,Container,87,1829,297
2023-01-22,North Europe,VM,67,1297,448
2023-01-22,North Europe,Storage,87,1483,229
2023-01-22,North Europe,Container,91,580,332
2023-01-22,Southeast Asia,VM,78,1399,337
2023-01-22,Southeast Asia,Storage,66,1853,472
2023-01-22,Southeast Asia,Container,69,1483,268
2023-01-23,East US,VM,83,552,404
2023-01-23,East US,Storage,92,542,439
2023-01-23,East US,Container,60,610,448
2023-01-23,West US,VM,72,1706,294
2023-01-23,West US,Storage,60,1897,207
2023-01-23,West US,Container,53,859,383
2023-01-23,North Europe,VM,74,1718,394
2023-01-23,North Europe,Storage,76,592,359
2023-01-23,North Europe,Container,99,560,321
2023-01-23,Southeast Asia,VM,68,1528,291
2023-01-23,Southeast Asia,Storage,91,1033,200
2023-01-23,Southeast Asia,Container,54,732,211
2023-01-24,East US,VM,75,1569,233
2023-01-24,East US,Storage,98,1601,417
2023-01-24,East US,Container,94,1596,481
2023-01-24,West US,VM,96,1644,413
2023-01-24,West US,Storage,96,1579,306
2023-01-24,West US,Container,97,836,225
2023-01-24,North Europe,VM,85,1780,207
2023-01-24,North Europe,Storage,98,1776,379
2023-01-24,North Europe,Container,64,802,326
2023-01-24,Southeast Asia,VM,71,1025,227
2023-01-24,Southeast Asia,Storage,72,577,415
2023-01-24,Southeast Asia,Container,51,864,353
2023-01-25,East US,VM,63,1198,206
2023-01-25,East US,Storage,52,1418,437
2023-01-25,East US,Container,92,1797,493
2023-01-25,West US,VM,84,1538,391
2023-01-25,West US,Storage,74,984,227
2023-01-25,West US,Container,59,1562,472
2023-01-25,North Europe,VM,88,585,325
2023-01-25,North Europe,Storage,93,1036,344
2023-01-25,North Europe,Container,62,1735,224
2023-01-25,Southeast Asia,VM,53,1917,266
2023-01-25,Southeast Asia,Storage,90,608,345
2023-01-25,Southeast Asia,Container,96,727,310
2023-01-26,East US,VM,71,533,310
2023-01-26,East US,Storage,57,1892,435
2023-01-26,East US,Container,68,924,300
2023-01-26,West US,VM,55,1191,481
2023-01-26,West US,Storage,83,1966,428
2023-01-26,West US,Container,82,1960,349
2023-01-26,North Europe,VM,70,1123,203
2023-01-26,North Europe,Storage,79,1342,294
2023-01-26,North Europe,Container,73,1322,336
2023-01-26,Southeast Asia,VM,52,742,230
2023-01-26,Southeast Asia,Storage,89,728,235
2023-01-26,Southeast Asia,Container,73,1746,205
2023-01-27,East US,VM,51,967,419
2023-01-27,East US,Storage,60,503,333
2023-01-27,East US,Container,98,1003,261
2023-01-27,West US,VM,51,1346,402
2023-01-27,West US,Storage,57,1549,372
2023-01-27,West US,Container,93,825,317
2023-01-27,North Europe,VM,53,1223,424
2023-01-27,North Europe,Storage,69,612,339
2023-01-27,North Europe,Container,96,500,289
2023-01-27,Southeast Asia,VM,63,819,237
2023-01-27,Southeast Asia,Storage,86,638,458
2023-01-27,Southeast Asia,Container,82,1401,377
2023-01-28,East US,VM,59,760,337
2023-01-28,East US,Storage,93,1397,212
2023-01-28,East US,Container,89,820,300
2023-01-28,West US,VM,58,1284,464
2023-01-28,West US,Storage,60,1410,237
2023-01-28,West US,Container,84,1618,268
2023-01-28,North Europe,VM,93,833,336
2023-01-28,North Europe,Storage,83,1087,234
2023-01-28,North Europe,Container,50,1819,259
2023-01-28,Southeast Asia,VM,78,1372,428
2023-01-28,Southeast Asia,Storage,63,1297,490
2023-01-28,Southeast Asia,Container,70,1688,204
2023-01-29,East US,VM,68,1902,277
2023-01-29,East US,Storage,75,1073,331
2023-01-29,East US,Container,74,1565,288
2023-01-29,West US,VM,67,795,494
2023-01-29,West US,Storage,89,1299,378
2023-01-29,West US,Container,87,1546,262
2023-01-29,North Europe,VM,64,1492,352
2023-01-29,North Europe,Storage,66,1748,303
2023-01-29,North Europe,Container,89,1562,397
2023-01-29,Southeast Asia,VM,55,1078,378
2023-01-29,Southeast Asia,Storage,57,1053,214
2023-01-29,Southeast Asia,Container,96,1812,430
2023-01-30,East US,VM,76,919,356
2023-01-30,East US,Storage,87,1964,296
2023-01-30,East US,Container,86,1934,488
2023-01-30,West US,VM,53,1097,209
2023-01-30,West US,Storage,54,1364,317
2023-01-30,West US,Container,87,1682,427
2023-01-30,North Europe,VM,94,715,383
2023-01-30,North Europe,Storage,64,1680,335
2023-01-30,North Europe,Container,54,1680,246
2023-01-30,Southeast Asia,VM,53,1343,372
2023-01-30,Southeast Asia,Storage,51,1934,294
2023-01-30,Southeast Asia,Container,85,1815,481
2023-01-31,East US,VM,92,1806,268
2023-01-31,East US,Storage,69,510,453
2023-01-31,East US,Container,59,1371,237
2023-01-31,West US,VM,55,1211,222
2023-01-31,West US,Storage,96,845,417
2023-01-31,West US,Container,62,1457,409
2023-01-31,North Europe,VM,74,1492,310
2023-01-31,North Europe,Storage,89,1327,370
2023-01-31,North Europe,Container,61,1503,332
2023-01-31,Southeast Asia,VM,86,626,305
2023-01-31,Southeast Asia,Storage,98,1103,486
2023-01-31,Southeast Asia,Container,58,1513,250
2023-02-01,East US,VM,78,1985,495
2023-02-01,East US,Storage,90,1278,456
2023-02-01,East US,Container,95,1928,309
2023-02-01,West US,VM,85,1705,200
2023-02-01,West US,Storage,89,1160,336
2023-02-01,West US,Container,59,1959,316
2023-02-01,North Europe,VM,75,1436,490
2023-02-01,North Europe,Storage,74,574,493
2023-02-01,North Europe,Container,51,1733,216
2023-02-01,Southeast Asia,VM,92,1454,450
2023-02-01,Southeast Asia,Storage,73,524,379
2023-02-01,Southeast Asia,Container,55,1684,376
2023-02-02,East US,VM,78,562,349
2023-02-02,East US,Storage,75,655,248
2023-02-02,East US,Container,56,1348,283
2023-02-02,West US,VM,90,1188,347
2023-02-02,West US,Storage,71,975,262
2023-02-02,West US,Container,89,1060,456
2023-02-02,North Europe,VM,81,1664,414
2023-02-02,North Europe,Storage,68,1841,231
2023-02-02,North Europe,Container,79,784,485
2023-02-02,Southeast Asia,VM,65,1947,218
2023-02-02,Southeast Asia,Storage,67,1268,277
2023-02-02,Southeast Asia,Container,96,1509,393
2023-02-03,East US,VM,77,1636,313
2023-02-03,East US,Storage,79,1446,331
2023-02-03,East US,Container,50,1787,254
2023-02-03,West US,VM,88,1299,465
2023-02-03,West US,Storage,59,661,286
2023-02-03,West US,Container,77,1701,207
2023-02-03,North Europe,VM,50,812,446
2023-02-03,North Europe,Storage,52,942,454
2023-02-03,North Europe,Container,57,1577,448
2023-02-03,Southeast Asia,VM,96,1752,266
2023-02-03,Southeast Asia,Storage,82,1506,463
2023-02-03,Southeast Asia,Container,83,595,287
2023-02-04,East US,VM,63,1811,319
2023-02-04,East US,Storage,95,990,364
2023-02-04,East US,Container,70,1409,422
2023-02-04,West US,VM,97,506,462
2023-02-04,West US,Storage,82,650,284
2023-02-04,West US,Container,68,1904,235
2023-02-04,North Europe,VM,78,1199,281
2023-02-04,North Europe,Storage,51,1314,396
2023-02-04,North Europe,Container,69,1245,394
2023-02-04,Southeast Asia,VM,72,1642,219
2023-02-04,Southeast Asia,Storage,54,1304,455
2023-02-04,Southeast Asia,Container,79,1404,425
2023-02-05,East US,VM,93,1353,479
2023-02-05,East US,Storage,66,1213,357
2023-02-05,East US,Container,95,627,423
2023-02-05,West US,VM,66,1638,408
2023-02-05,West US,Storage,63,1020,239
2023-02-05,West US,Container,51,736,480
2023-02-05,North Europe,VM,88,1724,445
2023-02-05,North Europe,Storage,71,1758,203
2023-02-05,North Europe,Container,75,941,228
2023-02-05,Southeast Asia,VM,94,1109,414
2023-02-05,Southeast Asia,Storage,86,574,345
2023-02-05,Southeast Asia,Container,70,541,240
2023-02-06,East US,VM,87,533,216
2023-02-06,East US,Storage,86,1676,275
2023-02-06,East US,Container,72,841,226
2023-02-06,West US,VM,80,1145,418
2023-02-06,West US,Storage,89,1109,467
2023-02-06,West US,Container,94,1320,372
2023-02-06,North Europe,VM,66,1421,389
2023-02-06,North Europe,Storage,95,629,392
2023-02-06,North Europe,Container,85,1894,481
2023-02-06,Southeast Asia,VM,78,648,466
2023-02-06,Southeast Asia,Storage,89,510,363
2023-02-06,Southeast Asia,Container,98,686,494
2023-02-07,East US,VM,89,1750,297
2023-02-07,East US,Storage,96,1163,445
2023-02-07,East US,Container,71,568,488
2023-02-07,West US,VM,85,1250,347
2023-02-07,West US,Storage,68,1767,400
2023-02-07,West US,Container,75,1973,272
2023-02-07,North Europe,VM,58,795,216
2023-02-07,North Europe,Storage,50,1740,260
2023-02-07,North Europe,Container,92,541,224
2023-02-07,Southeast Asia,VM,88,630,428
2023-02-07,Southeast Asia,Storage,93,671,301
2023-02-07,Southeast Asia,Container,83,1023,474
2023-02-08,East US,VM,86,1567,216
2023-02-08,East US,Storage,59,511,279
2023-02-08,East US,Container,73,838,463
2023-02-08,West US,VM,80,1160,280
2023-02-08,West US,Storage,72,873,397
2023-02-08,West US,Container,57,965,288
2023-02-08,North Europe,VM,61,988,225
2023-02-08,North Europe,Storage,96,1811,465
2023-02-08,North Europe,Container,65,1210,481
2023-02-08,Southeast Asia,VM,70,1609,449
2023-02-08,Southeast Asia,Storage,56,834,316
2023-02-08,Southeast Asia,Container,56,636,375
2023-02-09,East US,VM,57,1326,414
2023-02-09,East US,Storage,78,1093,422
2023-02-09,East US,Container,79,871,302
2023-02-09,West US,VM,66,1682,351
2023-02-09,West US,Storage,84,1119,387
2023-02-09,West US,Container,94,1621,330
2023-02-09,North Europe,VM,86,1694,382
2023-02-09,North Europe,Storage,72,863,238
2023-02-09,North Europe,Container,64,996,203
2023-02-09,Southeast Asia,VM,78,1481,409
2023-02-09,Southeast Asia,Storage,82,515,307
2023-02-09,Southeast Asia,Container,51,810,426
2023-02-10,East US,VM,91,1045,450
2023-02-10,East US,Storage,62,1664,473
2023-02-10,East US,Container,81,1562,228
2023-02-10,West US,VM,98,976,444
2023-02-10,West US,Storage,93,1196,471
2023-02-10,West US,Container,93,1762,465
2023-02-10,North Europe,VM,79,1420,264
2023-02-10,North Europe,Storage,79,502,341
2023-02-10,North Europe,Container,79,823,345
2023-02-10,Southeast Asia,VM,86,931,392
2023-02-10,Southeast Asia,Storage,95,1084,339
2023-02-10,Southeast Asia,Container,86,560,397
2023-02-11,East US,VM,88,1963,210
2023-02-11,East US,Storage,62,725,352
2023-02-11,East US,Container,56,1063,459
2023-02-11,West US,VM,57,1833,442
2023-02-11,West US,Storage,94,1889,306
2023-02-11,West US,Container,83,1324,417
2023-02-11,North Europe,VM,90,1252,458
2023-02-11,North Europe,Storage,55,553,246
2023-02-11,North Europe,Container,72,1188,208
2023-02-11,Southeast Asia,VM,84,1543,440
2023-02-11,Southeast Asia,Storage,91,918,377
2023-02-11,Southeast Asia,Container,67,561,344
2023-02-12,East US,VM,73,502,359
2023-02-12,East US,Storage,84,1280,319
2023-02-12,East US,Container,96,1612,267
2023-02-12,West US,VM,63,1880,297
2023-02-12,West US,Storage,60,1451,322
2023-02-12,West US,Container,77,1718,425
2023-02-12,North Europe,VM,61,669,208
2023-02-12,North Europe,Storage,64,539,224
2023-02-12,North Europe,Container,54,1918,425
2023-02-12,Southeast Asia,VM,73,1647,237
2023-02-12,Southeast Asia,Storage,57,1774,375
2023-02-12,Southeast Asia,Container,75,1413,236
2023-02-13,East US,VM,97,1472,483
2023-02-13,East US,Storage,54,1472,280
2023-02-13,East US,Container,99,1563,423
2023-02-13,West US,VM,78,614,385
2023-02-13,West US,Storage,52,1563,239
2023-02-13,West US,Container,76,1812,461
2023-02-13,North Europe,VM,73,1670,367
2023-02-13,North Europe,Storage,77,852,258
2023-02-13,North Europe,Container,97,1280,244
2023-02-13,Southeast Asia,VM,74,1693,390
2023-02-13,Southeast Asia,Storage,76,921,387
2023-02-13,Southeast Asia,Container,56,632,434
2023-02-14,East US,VM,94,1325,448
2023-02-14,East US,Storage,80,1034,359
2023-02-14,East US,Container,92,1960,357
2023-02-14,West US,VM,88,581,457
2023-02-14,West US,Storage,63,1088,211
2023-02-14,West US,Container,88,1747,212
2023-02-14,North Europe,VM,95,1636,432
2023-02-14,North Europe,Storage,66,859,422
2023-02-14,North Europe,Container,83,1199,362
2023-02-14,Southeast Asia,VM,97,1849,273
2023-02-14,Southeast Asia,Storage,90,1747,259
2023-02-14,Southeast Asia,Container,64,1745,236
2023-02-15,East US,VM,78,777,395
2023-02-15,East US,Storage,69,983,441
2023-02-15,East US,Container,53,1230,391
2023-02-15,West US,VM,66,1023,392
2023-02-15,West US,Storage,71,973,319
2023-02-15,West US,Container,67,805,469
2023-02-15,North Europe,VM,96,784,403
2023-02-15,North Europe,Storage,85,1262,426
2023-02-15,North Europe,Container,61,1530,228
2023-02-15,Southeast Asia,VM,60,1556,333
2023-02-15,Southeast Asia,Storage,96,578,257
2023-02-15,Southeast Asia,Container,72,1953,425
2023-02-16,East US,VM,78,1015,298
2023-02-16,East US,Storage,62,538,470
2023-02-16,East US,Container,78,656,274
2023-02-16,West US,VM,81,1653,374
2023-02-16,West US,Storage,63,1607,221
2023-02-16,West US,Container,60,1348,435
2023-02-16,North Europe,VM,77,1488,220
2023-02-16,North Europe,Storage,96,1368,283
2023-02-16,North Europe,Container,55,1976,456
2023-02-16,Southeast Asia,VM,87,1685,362
2023-02-16,Southeast Asia,Storage,98,1292,479
2023-02-16,Southeast Asia,Container,61,1794,407
2023-02-17,East US,VM,76,1583,344
2023-02-17,East US,Storage,78,1832,207
2023-02-17,East US,Container,64,1550,373
2023-02-17,West US,VM,99,698,380
2023-02-17,West US,Storage,73,877,245
2023-02-17,West US,Container,64,1676,421
2023-02-17,North Europe,VM,63,954,472
2023-02-17,North Europe,Storage,93,1020,365
2023-02-17,North Europe,Container,97,1516,413
2023-02-17,Southeast Asia,VM,51,1867,271
2023-02-17,Southeast Asia,Storage,60,1587,404
2023-02-17,Southeast Asia,Container,66,571,476
2023-02-18,East US,VM,67,1843,294
2023-02-18,East US,Storage,87,510,416
2023-02-18,East US,Container,82,601,466
2023-02-18,West US,VM,71,1611,240
2023-02-18,West US,Storage,66,1087,245
2023-02-18,West US,Container,81,1986,279
2023-02-18,North Europe,VM,71,591,347
2023-02-18,North Europe,Storage,82,1213,441
2023-02-18,North Europe,Container,82,501,424
2023-02-18,Southeast Asia,VM,82,1088,315
2023-02-18,Southeast Asia,Storage,75,1417,302
2023-02-18,Southeast Asia,Container,51,1689,289
2023-02-19,East US,VM,95,621,342
2023-02-19,East US,Storage,83,605,322
2023-02-19,East US,Container,55,508,461
2023-02-19,West US,VM,58,1882,422
2023-02-19,West US,Storage,81,1052,403
2023-02-19,West US,Container,57,1841,283
2023-02-19,North Europe,VM,96,750,206
2023-02-19,North Europe,Storage,60,1607,407
2023-02-19,North Europe,Container,53,1913,221
2023-02-19,Southeast Asia,VM,75,1394,202
2023-02-19,Southeast Asia,Storage,90,1373,213
2023-02-19,Southeast Asia,Container,60,1477,211
2023-02-20,East US,VM,72,1408,224
2023-02-20,East US,Storage,94,1766,321
2023-02-20,East US,Container,68,1249,372
2023-02-20,West US,VM,57,808,382
2023-02-20,West US,Storage,81,806,499
2023-02-20,West US,Container,67,1413,410
2023-02-20,North Europe,VM,71,1048,258
2023-02-20,North Europe,Storage,52,1423,401
2023-02-20,North Europe,Container,84,944,292
2023-02-20,Southeast Asia,VM,64,852,412
2023-02-20,Southeast Asia,Storage,80,1456,223
2023-02-20,Southeast Asia,Container,69,1304,203
2023-02-21,East US,VM,77,1887,219
2023-02-21,East US,Storage,73,1446,295
2023-02-21,East US,Container,90,919,449
2023-02-21,West US,VM,83,1077,461
2023-02-21,West US,Storage,88,1254,385
2023-02-21,West US,Container,61,1760,217
2023-02-21,North Europe,VM,89,520,424
2023-02-21,North Europe,Storage,84,1293,207
2023-02-21,North Europe,Container,85,1251,286
2023-02-21,Southeast Asia,VM,91,1439,213
2023-02-21,Southeast Asia,Storage,63,501,492
2023-02-21,Southeast Asia,Container,54,1504,240
2023-02-22,East US,VM,96,513,430
2023-02-22,East US,Storage,74,1607,329
2023-02-22,East US,Container,88,1337,344
2023-02-22,West US,VM,74,527,265
2023-02-22,West US,Storage,84,1752,460
2023-02-22,West US,Container,50,1947,363
2023-02-22,North Europe,VM,94,1418,486
2023-02-22,North Europe,Storage,60,1533,394
2023-02-22,North Europe,Container,63,1091,292
2023-02-22,Southeast Asia,VM,59,1343,456
2023-02-22,Southeast Asia,Storage,54,1799,463
2023-02-22,Southeast Asia,Container,92,1471,200
2023-02-23,East US,VM,69,1807,320
2023-02-23,East US,Storage,92,1186,403
2023-02-23,East US,Container,86,804,319
2023-02-23,West US,VM,93,655,406
2023-02-23,West US,Storage,55,1119,450
