usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,cpu_utilization,storage_efficiency,region_East US,region_North Europe,region_Southeast Asia,region_West US,resource_type_Container,resource_type_Storage,resource_type_VM,year,month,day,day_of_week,quarter,week_of_year,is_month_start,is_month_end,is_weekend
97,1009,298,82.75,0.94,1,0.9797979797979798,0.5060180541624875,0,0,1,0,0,0,1,2023,1,8,6,1,1,0,0,1
69,753,426,82.75,0.94,1,0.696969696969697,0.3774436090225564,0,1,0,0,1,0,0,2023,1,8,6,1,1,0,0,1
82,1127,274,82.75,0.94,1,0.8282828282828283,0.5651955867602808,0,1,0,0,0,0,1,2023,1,8,6,1,1,0,0,1
61,952,236,82.75,0.94,1,0.6161616161616161,0.4779116465863454,1,0,0,0,0,1,0,2023,1,8,6,1,1,0,0,1
97,707,330,82.75,0.94,1,0.9797979797979798,0.3549196787148594,0,0,0,1,0,1,0,2023,1,8,6,1,1,0,0,1
90,1622,346,82.75,0.94,1,0.9090909090909091,0.8134403209628887,0,0,0,1,0,0,1,2023,1,8,6,1,1,0,0,1
81,1514,208,82.75,0.94,1,0.8181818181818182,0.7588972431077694,1,0,0,0,1,0,0,2023,1,8,6,1,1,0,0,1
98,501,453,82.75,0.94,1,0.98989898989899,0.2512537612838516,1,0,0,0,0,0,1,2023,1,8,6,1,1,0,0,1
69,651,253,82.75,0.94,1,0.696969696969697,0.3263157894736842,0,0,0,1,1,0,0,2023,1,8,6,1,1,0,0,1
94,1062,463,89.87,1.03,0,0.9494949494949495,0.5325977933801405,0,1,0,0,0,0,1,2023,1,9,0,1,2,0,0,0
53,1046,391,89.87,1.03,0,0.5353535353535354,0.5251004016064257,0,0,1,0,0,1,0,2023,1,9,0,1,2,0,0,0
77,1378,346,89.87,1.03,0,0.7777777777777778,0.691073219658977,0,0,1,0,0,0,1,2023,1,9,0,1,2,0,0,0
70,1297,296,89.87,1.03,0,0.7070707070707071,0.650125313283208,0,1,0,0,1,0,0,2023,1,9,0,1,2,0,0,0
76,526,425,89.87,1.03,0,0.7676767676767676,0.2640562248995984,0,1,0,0,0,1,0,2023,1,9,0,1,2,0,0,0
98,516,371,89.87,1.03,0,0.98989898989899,0.2586466165413534,0,0,1,0,1,0,0,2023,1,9,0,1,2,0,0,0
95,537,429,89.87,1.03,0,0.9595959595959596,0.26917293233082706,0,0,0,1,1,0,0,2023,1,9,0,1,2,0,0,0
52,900,327,89.87,1.03,0,0.5252525252525253,0.45135406218655966,0,0,0,1,0,0,1,2023,1,9,0,1,2,0,0,0
97,1915,334,89.87,1.03,0,0.9797979797979798,0.9598997493734336,1,0,0,0,1,0,0,2023,1,9,0,1,2,0,0,0
82,897,476,89.87,1.03,0,0.8282828282828283,0.4503012048192771,1,0,0,0,0,1,0,2023,1,9,0,1,2,0,0,0
85,660,267,89.87,1.03,0,0.8585858585858586,0.33099297893681046,1,0,0,0,0,0,1,2023,1,9,0,1,2,0,0,0
82,1187,221,89.87,1.03,0,0.8282828282828283,0.5958835341365462,0,0,0,1,0,1,0,2023,1,9,0,1,2,0,0,0
89,1916,498,90.92,0.86,0,0.898989898989899,0.9604010025062657,0,0,1,0,1,0,0,2023,1,10,1,1,2,0,0,0
51,654,472,90.92,0.86,0,0.5151515151515151,0.32831325301204817,0,0,1,0,0,1,0,2023,1,10,1,1,2,0,0,0
99,1811,350,90.92,0.86,0,1.0,0.9082246740220662,0,0,1,0,0,0,1,2023,1,10,1,1,2,0,0,0
52,1185,479,90.92,0.86,0,0.5252525252525253,0.5939849624060151,0,1,0,0,1,0,0,2023,1,10,1,1,2,0,0,0
74,1065,257,90.92,0.86,0,0.7474747474747475,0.5346385542168675,0,1,0,0,0,1,0,2023,1,10,1,1,2,0,0,0
52,627,217,90.92,0.86,0,0.5252525252525253,0.31444332998996993,0,1,0,0,0,0,1,2023,1,10,1,1,2,0,0,0
82,1639,390,90.92,0.86,0,0.8282828282828283,0.8227911646586346,0,0,0,1,0,1,0,2023,1,10,1,1,2,0,0,0
80,1622,387,90.92,0.86,0,0.8080808080808081,0.8134403209628887,0,0,0,1,0,0,1,2023,1,10,1,1,2,0,0,0
86,779,380,90.92,0.86,0,0.8686868686868687,0.3904761904761905,1,0,0,0,1,0,0,2023,1,10,1,1,2,0,0,0
55,598,432,90.92,0.86,0,0.5555555555555556,0.3002008032128514,1,0,0,0,0,1,0,2023,1,10,1,1,2,0,0,0
77,657,245,90.92,0.86,0,0.7777777777777778,0.3294884653961886,1,0,0,0,0,0,1,2023,1,10,1,1,2,0,0,0
70,1427,360,90.92,0.86,0,0.7070707070707071,0.7152882205513784,0,0,0,1,1,0,0,2023,1,10,1,1,2,0,0,0
72,1353,250,114.66,0.98,0,0.7272727272727273,0.6792168674698795,0,1,0,0,0,1,0,2023,1,11,2,1,2,0,0,0
91,1337,470,114.66,0.98,0,0.9191919191919192,0.6701754385964912,0,0,1,0,1,0,0,2023,1,11,2,1,2,0,0,0
71,804,379,114.66,0.98,0,0.7171717171717171,0.4036144578313253,0,0,1,0,0,1,0,2023,1,11,2,1,2,0,0,0
71,813,257,114.66,0.98,0,0.7171717171717171,0.40772316950852555,0,0,1,0,0,0,1,2023,1,11,2,1,2,0,0,0
74,1074,389,114.66,0.98,0,0.7474747474747475,0.5383458646616541,0,1,0,0,1,0,0,2023,1,11,2,1,2,0,0,0
77,1877,487,114.66,0.98,0,0.7777777777777778,0.9413239719157472,0,1,0,0,0,0,1,2023,1,11,2,1,2,0,0,0
97,1562,369,114.66,0.98,0,0.9797979797979798,0.7833500501504513,1,0,0,0,0,0,1,2023,1,11,2,1,2,0,0,0
95,899,341,114.66,0.98,0,0.9595959595959596,0.45130522088353414,0,0,0,1,0,1,0,2023,1,11,2,1,2,0,0,0
69,820,463,114.66,0.98,0,0.696969696969697,0.4112337011033099,0,0,0,1,0,0,1,2023,1,11,2,1,2,0,0,0
56,535,372,114.66,0.98,0,0.5656565656565656,0.2681704260651629,1,0,0,0,1,0,0,2023,1,11,2,1,2,0,0,0
75,1420,212,114.66,0.98,0,0.7575757575757576,0.7128514056224899,1,0,0,0,0,1,0,2023,1,11,2,1,2,0,0,0
61,970,342,114.66,0.98,0,0.6161616161616161,0.48621553884711777,0,0,0,1,1,0,0,2023,1,11,2,1,2,0,0,0
68,1581,428,100.68,0.86,0,0.6868686868686869,0.7936746987951807,0,1,0,0,0,1,0,2023,1,12,3,1,2,0,0,0
97,987,436,100.68,0.86,0,0.9797979797979798,0.49473684210526314,0,0,1,0,1,0,0,2023,1,12,3,1,2,0,0,0
50,1301,295,100.68,0.86,0,0.5050505050505051,0.6531124497991968,0,0,1,0,0,1,0,2023,1,12,3,1,2,0,0,0
58,1512,328,100.68,0.86,0,0.5858585858585859,0.7582748244734202,0,0,1,0,0,0,1,2023,1,12,3,1,2,0,0,0
75,616,478,100.68,0.86,0,0.7575757575757576,0.3087719298245614,0,1,0,0,1,0,0,2023,1,12,3,1,2,0,0,0
91,1156,319,100.68,0.86,0,0.9191919191919192,0.5797392176529589,0,1,0,0,0,0,1,2023,1,12,3,1,2,0,0,0
93,504,302,100.68,0.86,0,0.9393939393939394,0.25263157894736843,1,0,0,0,1,0,0,2023,1,12,3,1,2,0,0,0
84,1322,343,100.68,0.86,0,0.8484848484848485,0.6636546184738956,0,0,0,1,0,1,0,2023,1,12,3,1,2,0,0,0
53,1273,246,100.68,0.86,0,0.5353535353535354,0.6384152457372116,0,0,0,1,0,0,1,2023,1,12,3,1,2,0,0,0
62,869,323,100.68,0.86,0,0.6262626262626263,0.4355889724310777,0,0,0,1,1,0,0,2023,1,12,3,1,2,0,0,0
82,763,252,100.68,0.86,0,0.8282828282828283,0.3830321285140562,1,0,0,0,0,1,0,2023,1,12,3,1,2,0,0,0
92,943,300,100.68,0.86,0,0.9292929292929293,0.4729187562688064,1,0,0,0,0,0,1,2023,1,12,3,1,2,0,0,0
79,856,222,94.56,1.01,0,0.797979797979798,0.42971887550200805,0,0,1,0,0,1,0,2023,1,13,4,1,2,0,0,0
85,1812,453,94.56,1.01,0,0.8585858585858586,0.9087261785356068,0,0,1,0,0,0,1,2023,1,13,4,1,2,0,0,0
65,717,238,94.56,1.01,0,0.6565656565656566,0.3593984962406015,0,1,0,0,1,0,0,2023,1,13,4,1,2,0,0,0
95,1457,403,94.56,1.01,0,0.9595959595959596,0.731425702811245,0,1,0,0,0,1,0,2023,1,13,4,1,2,0,0,0
96,1508,293,94.56,1.01,0,0.9696969696969697,0.7562688064192578,0,1,0,0,0,0,1,2023,1,13,4,1,2,0,0,0
59,1623,489,94.56,1.01,0,0.5959595959595959,0.8135338345864662,0,0,1,0,1,0,0,2023,1,13,4,1,2,0,0,0
65,1958,285,94.56,1.01,0,0.6565656565656566,0.9829317269076305,0,0,0,1,0,1,0,2023,1,13,4,1,2,0,0,0
52,1599,353,94.56,1.01,0,0.5252525252525253,0.8019057171514543,0,0,0,1,0,0,1,2023,1,13,4,1,2,0,0,0
71,1360,446,94.56,1.01,0,0.7171717171717171,0.681704260651629,1,0,0,0,1,0,0,2023,1,13,4,1,2,0,0,0
88,1203,268,94.56,1.01,0,0.8888888888888888,0.6039156626506024,1,0,0,0,0,1,0,2023,1,13,4,1,2,0,0,0
50,1795,388,94.56,1.01,0,0.5050505050505051,0.9002006018054163,1,0,0,0,0,0,1,2023,1,13,4,1,2,0,0,0
78,1743,268,94.56,1.01,0,0.7878787878787878,0.8736842105263158,0,0,0,1,1,0,0,2023,1,13,4,1,2,0,0,0
99,534,414,88.49,1.04,1,1.0,0.26766917293233083,0,0,1,0,1,0,0,2023,1,14,5,1,2,0,0,1
80,1825,452,88.49,1.04,1,0.8080808080808081,0.9161646586345381,0,0,1,0,0,1,0,2023,1,14,5,1,2,0,0,1
93,784,211,88.49,1.04,1,0.9393939393939394,0.39317953861584753,0,0,1,0,0,0,1,2023,1,14,5,1,2,0,0,1
82,1691,242,88.49,1.04,1,0.8282828282828283,0.8476190476190476,0,1,0,0,1,0,0,2023,1,14,5,1,2,0,0,1
92,1791,264,88.49,1.04,1,0.9292929292929293,0.8990963855421686,0,1,0,0,0,1,0,2023,1,14,5,1,2,0,0,1
82,1456,378,88.49,1.04,1,0.8282828282828283,0.7301905717151455,0,1,0,0,0,0,1,2023,1,14,5,1,2,0,0,1
61,1189,362,88.49,1.04,1,0.6161616161616161,0.5959899749373434,0,0,0,1,1,0,0,2023,1,14,5,1,2,0,0,1
51,996,359,88.49,1.04,1,0.5151515151515151,0.49949849548645936,0,0,0,1,0,0,1,2023,1,14,5,1,2,0,0,1
65,1291,446,88.49,1.04,1,0.6565656565656566,0.6471177944862155,1,0,0,0,1,0,0,2023,1,14,5,1,2,0,0,1
81,1268,203,88.49,1.04,1,0.8181818181818182,0.6365461847389559,1,0,0,0,0,1,0,2023,1,14,5,1,2,0,0,1
80,1261,346,88.49,1.04,1,0.8080808080808081,0.6323971915747242,1,0,0,0,0,0,1,2023,1,14,5,1,2,0,0,1
76,1351,351,88.49,1.04,1,0.7676767676767676,0.6782128514056225,0,0,0,1,0,1,0,2023,1,14,5,1,2,0,0,1
67,1508,295,93.99,0.97,1,0.6767676767676768,0.755889724310777,0,1,0,0,1,0,0,2023,1,15,6,1,2,0,0,1
98,778,416,93.99,0.97,1,0.98989898989899,0.3899749373433584,0,0,1,0,1,0,0,2023,1,15,6,1,2,0,0,1
81,536,467,93.99,0.97,1,0.8181818181818182,0.26907630522088355,0,0,1,0,0,1,0,2023,1,15,6,1,2,0,0,1
73,1162,389,93.99,0.97,1,0.7373737373737373,0.5827482447342026,0,0,1,0,0,0,1,2023,1,15,6,1,2,0,0,1
84,1622,235,93.99,0.97,1,0.8484848484848485,0.8142570281124498,0,1,0,0,0,1,0,2023,1,15,6,1,2,0,0,1
85,1917,391,93.99,0.97,1,0.8585858585858586,0.9613841524573721,0,1,0,0,0,0,1,2023,1,15,6,1,2,0,0,1
94,1598,416,93.99,0.97,1,0.9494949494949495,0.8022088353413654,0,0,0,1,0,1,0,2023,1,15,6,1,2,0,0,1
56,1719,313,93.99,0.97,1,0.5656565656565656,0.8620862587763289,0,0,0,1,0,0,1,2023,1,15,6,1,2,0,0,1
83,614,304,93.99,0.97,1,0.8383838383838383,0.30776942355889725,1,0,0,0,1,0,0,2023,1,15,6,1,2,0,0,1
78,1469,289,93.99,0.97,1,0.7878787878787878,0.7374497991967871,1,0,0,0,0,1,0,2023,1,15,6,1,2,0,0,1
66,589,463,93.99,0.97,1,0.6666666666666666,0.29538615847542626,1,0,0,0,0,0,1,2023,1,15,6,1,2,0,0,1
70,1520,448,93.99,0.97,1,0.7070707070707071,0.7619047619047619,0,0,0,1,1,0,0,2023,1,15,6,1,2,0,0,1
91,1709,422,93.98,1.19,0,0.9191919191919192,0.8566416040100251,0,0,1,0,1,0,0,2023,1,16,0,1,3,0,0,0
88,608,380,93.98,1.19,0,0.8888888888888888,0.30522088353413657,0,0,1,0,0,1,0,2023,1,16,0,1,3,0,0,0
54,1622,224,93.98,1.19,0,0.5454545454545454,0.8130325814536341,0,1,0,0,1,0,0,2023,1,16,0,1,3,0,0,0
68,1890,343,93.98,1.19,0,0.6868686868686869,0.9487951807228916,0,1,0,0,0,1,0,2023,1,16,0,1,3,0,0,0
56,1217,422,93.98,1.19,0,0.5656565656565656,0.6103309929789368,0,1,0,0,0,0,1,2023,1,16,0,1,3,0,0,0
70,1674,343,93.98,1.19,0,0.7070707070707071,0.839518555667001,0,0,1,0,0,0,1,2023,1,16,0,1,3,0,0,0
61,944,432,93.98,1.19,0,0.6161616161616161,0.4738955823293173,0,0,0,1,0,1,0,2023,1,16,0,1,3,0,0,0
68,676,299,93.98,1.19,0,0.6868686868686869,0.33901705115346037,0,0,0,1,0,0,1,2023,1,16,0,1,3,0,0,0
97,1228,386,93.98,1.19,0,0.9797979797979798,0.6155388471177945,1,0,0,0,1,0,0,2023,1,16,0,1,3,0,0,0
66,561,283,93.98,1.19,0,0.6666666666666666,0.2816265060240964,1,0,0,0,0,1,0,2023,1,16,0,1,3,0,0,0
84,1372,485,93.98,1.19,0,0.8484848484848485,0.6880641925777332,1,0,0,0,0,0,1,2023,1,16,0,1,3,0,0,0
68,575,464,93.98,1.19,0,0.6868686868686869,0.2882205513784461,0,0,0,1,1,0,0,2023,1,16,0,1,3,0,0,0
80,944,381,99.87,0.89,0,0.8080808080808081,0.4731829573934837,0,0,1,0,1,0,0,2023,1,17,1,1,3,0,0,0
85,1593,451,99.87,0.89,0,0.8585858585858586,0.7996987951807228,0,0,1,0,0,1,0,2023,1,17,1,1,3,0,0,0
56,716,331,99.87,0.89,0,0.5656565656565656,0.35907723169508526,0,0,1,0,0,0,1,2023,1,17,1,1,3,0,0,0
97,1888,344,99.87,0.89,0,0.9797979797979798,0.9463659147869674,0,1,0,0,1,0,0,2023,1,17,1,1,3,0,0,0
87,838,335,99.87,0.89,0,0.8787878787878788,0.4206827309236948,0,1,0,0,0,1,0,2023,1,17,1,1,3,0,0,0
51,528,364,99.87,0.89,0,0.5151515151515151,0.26479438314944836,0,1,0,0,0,0,1,2023,1,17,1,1,3,0,0,0
59,1453,452,99.87,0.89,0,0.5959595959595959,0.7286860581745236,0,0,0,1,0,0,1,2023,1,17,1,1,3,0,0,0
87,1697,340,99.87,0.89,0,0.8787878787878788,0.8519076305220884,0,0,0,1,0,1,0,2023,1,17,1,1,3,0,0,0
96,1087,208,99.87,0.89,0,0.9696969696969697,0.5448621553884712,1,0,0,0,1,0,0,2023,1,17,1,1,3,0,0,0
78,734,345,99.87,0.89,0,0.7878787878787878,0.3684738955823293,1,0,0,0,0,1,0,2023,1,17,1,1,3,0,0,0
54,1686,414,99.87,0.89,0,0.5454545454545454,0.8455366098294884,1,0,0,0,0,0,1,2023,1,17,1,1,3,0,0,0
